Data File,Sample Notes,RT (min),Peak Name,Result Type,Area,Amt,Calib Amt,Dev%-Amt,Sample Type,plate
201026_MIA_001.xms,Solvent Blank,2.626,Caffeine,Failed,771,1,---,---,Blank,P1
201026_MIA_001001.xms,Solvent Blank,2.534,Caffeine,Failed,1275,1,---,---,Blank,P1
201026_MIA_002.xms,QC_mix_00,2.53,Caffeine,Failed,511378,2,---,---,Analysis,P1
201026_MIA_003.xms,Solvent Blank,2.519,Caffeine,Failed,556,1,---,---,Blank,P1
201026_MIA_003001.xms,Solvent Blank,2.542,Caffeine,Failed,541,1,---,---,Blank,P1
201026_MIA_004.xms,Blank,2.531,Caffeine,Failed,764,1,---,---,Blank,P1
201026_MIA_005.xms,0.05 mg/L stric_v13#1,2.518,Caffeine,Failed,235815,1,1,---,Calibration,P1
201026_MIA_006.xms,0.1 mg/L stric_v13#2,2.517,Caffeine,Failed,440585,1,1,---,Calibration,P1
201026_MIA_007.xms,0.25 mg/L stric_v13#3,2.522,Caffeine,Failed,239193,1,1,---,Calibration,P1
201026_MIA_008.xms,0.5 mg/L stric_v13#4,2.502,Caffeine,Failed,240244,1,1,---,Calibration,P1
201026_MIA_009.xms,1 mg/L stric_v13#5,2.502,Caffeine,Failed,227477,1,1,---,Calibration,P1
201026_MIA_010.xms,2.5 mg/L stric_v13#6,2.505,Caffeine,Failed,216187,1,1,---,Calibration,P1
201026_MIA_011.xms,5 mg/L stric_v13#7,2.489,Caffeine,Failed,227380,1,1,---,Calibration,P1
201026_MIA_012.xms,10 mg/L stric_v13#8,2.492,Caffeine,Failed,230683,1,1,---,Calibration,P1
201026_MIA_013.xms,25 mg/L stric_v13#9,2.502,Caffeine,Failed,292088,1,1,---,Calibration,P1
201026_MIA_014.xms,50 mg/L stric_v13#10,2.499,Caffeine,Failed,313196,1,1,---,Calibration,P1
201026_MIA_015.xms,Solvent Blank,2.591,Caffeine,Failed,611,1,---,---,Blank,P1
201026_MIA_015001.xms,Solvent Blank,2.56,Caffeine,Failed,1223,1,---,---,Blank,P1
201026_MIA_015002.xms,Solvent Blank,2.53,Caffeine,Failed,530,1,---,---,Blank,P1
201026_MIA_016.xms,ISY_CYC_P1_A1,2.495,Caffeine,Failed,4.28E+06,25,---,---,Analysis,P1
201026_MIA_017.xms,ISY_CYC_P1_A2,2.492,Caffeine,Failed,4.91E+06,25,---,---,Analysis,P1
201026_MIA_018.xms,ISY_CYC_P1_A3,2.508,Caffeine,Failed,4.67E+06,25,---,---,Analysis,P1
201026_MIA_019.xms,ISY_CYC_P1_A4,2.51,Caffeine,Failed,4.88E+06,25,---,---,Analysis,P1
201026_MIA_020.xms,ISY_CYC_P1_A5,2.513,Caffeine,Failed,4.28E+06,25,---,---,Analysis,P1
201026_MIA_021.xms,ISY_CYC_P1_A6,2.504,Caffeine,Failed,4.68E+06,25,---,---,Analysis,P1
201026_MIA_022.xms,ISY_CYC_P1_A7,2.509,Caffeine,Failed,4.77E+06,25,---,---,Analysis,P1
201026_MIA_023.xms,ISY_CYC_P1_A8,2.513,Caffeine,Failed,4.32E+06,25,---,---,Analysis,P1
201026_MIA_024.xms,ISY_CYC_P1_A9,2.505,Caffeine,Failed,4.83E+06,25,---,---,Analysis,P1
201026_MIA_025.xms,ISY_CYC_P1_A10,2.507,Caffeine,Failed,4.49E+06,25,---,---,Analysis,P1
201026_MIA_026.xms,ISY_CYC_P1_A11,2.496,Caffeine,Failed,4.77E+06,25,---,---,Analysis,P1
201026_MIA_027.xms,ISY_CYC_P1_A12,2.506,Caffeine,Failed,5.34E+06,25,---,---,Analysis,P1
201026_MIA_028.xms,QC_mix_01,2.505,Caffeine,Failed,364167,1,1,---,Verification,P1
